method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
ILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I0",20527.000000000004,20527.0,12.0,1.2943079471588137,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I0",20527.0,20527.0,7.0,0.7821049690246582,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(25, 125)I0",,,,0.9378678798675536,,24042.0,0.934201955795288,0.0036659240722656
ILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I1",20181.999999999996,20182.0,20.0,1.1823430061340332,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I1",20182.0,20182.0,11.0,0.7163779735565186,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(25, 125)I1",,,,0.8381257057189941,,24964.0,0.8043107986450195,0.0338149070739746
ILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I2",20212.0,20212.0,16.0,1.3094089031219482,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(25, 125)I2",20212.0,20212.0,7.0,0.7861959934234619,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(25, 125)I2",,,,0.7340087890625,,24048.0,0.7298266887664795,0.0041821002960205
ILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I0",27596.0,27596.0,18.0,1.597320795059204,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I0",27596.0,27596.0,10.0,0.981841802597046,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(50, 150)I0",,,,0.9888479709625244,,31661.0,0.9657549858093262,0.0230929851531982
ILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I1",27382.0,27382.0,20.0,1.891655206680298,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I1",27382.0,27382.0,14.0,1.1041138172149658,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(50, 150)I1",,,,0.6658799648284912,,32917.0,0.6430048942565918,0.0228750705718994
ILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I2",28238.0,28238.0,9.0,0.5228579044342041,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(50, 150)I2",28238.0,28238.0,7.0,0.4720840454101562,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(50, 150)I2",,,,0.3863639831542969,,32052.0,0.3562979698181152,0.0300660133361816
ILP,100,0.1,"RNDN100D0.1R0.001P(75, 175)I0",33444.0,33446.0,6.0,0.2389020919799804,0.0059797883154936,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(75, 175)I0",33446.0,33446.0,7.0,0.3135449886322021,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.001P(75, 175)I0",,,,0.2931046485900879,,40389.0,0.2819488048553467,0.0111558437347412
ILP,100,0.1,"RNDN100D0.1R0.001P(75, 175)I1",34166.00000000001,34169.0,13.0,1.0046091079711914,0.0087798882027355,,,
MILP,100,0.1,"RNDN100D0.1R0.001P(75, 175)I1",34169.0,34169.0,12.0,0.8069510459899902,0.0,,,
