method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
ILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I0",75191.0,75191.0,19.0,1.92745304107666,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I0",75191.0,75191.0,8.0,0.961965799331665,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I0",,,,1.016068935394287,,85459.0,0.9705090522766112,0.0455598831176757
ILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I1",75903.0,75903.0,20.0,1.233747959136963,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I1",75903.0,75903.0,10.0,0.8865871429443359,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I1",,,,1.233029842376709,,85078.0,1.190169095993042,0.0428607463836669
ILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I2",73426.0,73426.0,10.0,1.2006378173828125,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I2",73426.0,73426.0,12.0,0.8889479637145996,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.001P(25, 200)I2",,,,0.5267300605773926,,84101.0,0.5251190662384033,0.0016109943389892
ILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I0",163424.0,163424.0,30.0,6.927716970443726,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I0",163424.0,163424.0,18.0,2.56615686416626,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I0",,,,3.221235752105713,,169428.0,3.206178903579712,0.0150568485260009
ILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I1",163617.00000000003,163617.0,10.0,1.966028928756714,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I1",163617.0,163617.0,11.0,1.1405799388885498,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I1",,,,1.51139497756958,,171524.0,1.4871559143066406,0.0242390632629394
ILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I2",167300.0,167300.0,12.0,2.2872560024261475,0.0,,,
MILP,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I2",167300.0,167300.0,12.0,1.18151593208313,0.0,,,
Matheuristic,100,AD_1,"SWNN100DAD_1R0.002P(25, 200)I2",,,,1.554912805557251,,172946.0,1.5293519496917725,0.0255608558654785
ILP,100,AD_1,"SWNN100DAD_1R0.003P(25, 200)I0",261336.0,261336.0,34.0,25.17545509338379,0.0,,,
