model,n,d,r,p,i,seed,epsilon,tau,status,optimal,cuts,runtime,gap
ILP,200,0.2,0.0001,"(75, 175)",0,4029091080,1.0,,2,True,6.0,4.0088958740234375,
MILP,200,0.2,0.0001,"(75, 175)",0,4029091080,1.0,,2,True,9.0,4.239788055419922,
ILP,200,0.2,0.0001,"(75, 175)",0,4029091080,5.0,,2,True,25.0,3.9793131351470947,
MILP,200,0.2,0.0001,"(75, 175)",0,4029091080,5.0,,2,True,55.0,4.590059995651245,
ILP,200,0.2,0.0001,"(75, 175)",0,4029091080,10.0,,2,True,68.0,5.317528009414673,
MILP,200,0.2,0.0001,"(75, 175)",0,4029091080,10.0,,2,True,107.0,6.334390878677368,
ILP,200,0.2,0.0001,"(75, 175)",0,4029091080,20.0,,2,True,100.0,4.0680389404296875,
MILP,200,0.2,0.0001,"(75, 175)",0,4029091080,20.0,,2,True,201.0,6.395357131958008,
ILP,200,0.2,0.0001,"(75, 175)",0,4029091080,1000.0,,2,True,479.0,3.442784070968628,
MILP,200,0.2,0.0001,"(75, 175)",0,4029091080,1000.0,,2,True,669.0,7.030102014541626,
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,10.0,2,True,,1.4510951042175293,9.905066131793095e-05
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,20.0,2,True,,1.4255571365356445,9.905066131793095e-05
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,30.0,2,True,,2.0364601612091064,9.905066131793095e-05
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,40.0,2,True,,1.9082560539245605,9.905066131793095e-05
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,50.0,2,True,,1.8784229755401611,9.905066131793095e-05
RelaxedMILP,200,0.2,0.0001,"(75, 175)",0,4029091080,,60.0,2,True,,1.7003490924835205,9.905066131793095e-05
ILP,300,0.1,3e-05,"(75, 175)",2,3923660234,1.0,,2,True,13.0,41.197328090667725,
MILP,300,0.1,3e-05,"(75, 175)",2,3923660234,1.0,,2,True,18.0,52.0397469997406,
ILP,300,0.1,3e-05,"(75, 175)",2,3923660234,5.0,,2,True,65.0,40.4096200466156,
MILP,300,0.1,3e-05,"(75, 175)",2,3923660234,5.0,,2,True,90.0,43.82007384300232,
ILP,300,0.1,3e-05,"(75, 175)",2,3923660234,10.0,,2,True,100.0,34.33845520019531,
MILP,300,0.1,3e-05,"(75, 175)",2,3923660234,10.0,,2,True,187.0,42.796566009521484,
ILP,300,0.1,3e-05,"(75, 175)",2,3923660234,20.0,,2,True,238.0,40.12717390060425,
MILP,300,0.1,3e-05,"(75, 175)",2,3923660234,20.0,,2,True,285.0,45.93158411979675,
ILP,300,0.1,3e-05,"(75, 175)",2,3923660234,1000.0,,2,True,2348.0,86.88829398155212,
MILP,300,0.1,3e-05,"(75, 175)",2,3923660234,1000.0,,2,True,1862.0,71.73175096511841,
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,10.0,2,True,,5.0259740352630615,8.397075710644606e-05
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,20.0,2,True,,5.214605093002319,8.397075710644606e-05
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,30.0,2,True,,4.35990309715271,8.397075710644606e-05
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,40.0,2,True,,4.842986106872559,8.397075710644606e-05
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,50.0,2,True,,5.926890134811401,8.397075710644606e-05
RelaxedMILP,300,0.1,3e-05,"(75, 175)",2,3923660234,,60.0,2,True,,4.774233102798462,8.397075710644606e-05
ILP,200,0.1,0.0002,"(100, 200)",0,2275855330,1.0,,2,True,21.0,20.409220218658447,
MILP,200,0.1,0.0002,"(100, 200)",0,2275855330,1.0,,2,True,12.0,11.911845207214355,
ILP,200,0.1,0.0002,"(100, 200)",0,2275855330,5.0,,2,True,105.0,19.066884994506836,
MILP,200,0.1,0.0002,"(100, 200)",0,2275855330,5.0,,2,True,70.0,11.852953910827637,
ILP,200,0.1,0.0002,"(100, 200)",0,2275855330,10.0,,2,True,210.0,18.822503089904785,
MILP,200,0.1,0.0002,"(100, 200)",0,2275855330,10.0,,2,True,130.0,8.639250040054321,
ILP,200,0.1,0.0002,"(100, 200)",0,2275855330,20.0,,2,True,574.0,15.517109870910645,
MILP,200,0.1,0.0002,"(100, 200)",0,2275855330,20.0,,2,True,476.0,12.52732801437378,
ILP,200,0.1,0.0002,"(100, 200)",0,2275855330,1000.0,,2,True,1870.0,20.9169819355011,
MILP,200,0.1,0.0002,"(100, 200)",0,2275855330,1000.0,,2,True,1199.0,24.061859846115112,
